road_key,hour,month,is_night,is_rush_hour,is_weekend,at_intersection_binary,school_zone_binary,work_zone_binary,weather_encoded,light_encoded,surface_encoded,historical_crash_rate,ADT,congestion_risk
400 BAKER RD,22,11,1,0,0,1.0,0,0,0.0,2.0,0.0,1,5000.0,0
800 MANOR DR,12,11,0,0,0,1.0,0,0,0.0,0.0,0.0,1,5000.0,0
4600 PRINCESS ANNE RD,11,11,0,0,0,1.0,0,0,0.0,0.0,0.0,9,20000.0,1
LYNNHAVEN PW,12,10,0,0,1,1.0,0,0,0.0,0.0,0.0,32,46000.0,2
6100 INDIAN RIVER RD,8,10,0,1,1,1.0,0,0,0.0,0.0,0.0,3,71000.0,2
400 ROSEMONT RD S,8,10,0,1,1,1.0,0,0,0.0,0.0,0.0,4,30000.0,1
2300 ROUNDHILL DR,10,10,0,0,1,1.0,0,0,0.0,0.0,0.0,1,20000.0,1
4900 PRINCESS ANNE RD,13,11,0,0,1,0.0,0,0,0.0,0.0,0.0,17,20000.0,1
5300 BALFOR DR,9,11,0,1,0,1.0,0,0,0.0,0.0,0.0,1,6700.0,0
600 OCEANA BL,8,11,0,1,0,1.0,1,0,0.0,0.0,0.0,1,30000.0,1
5800 INDIAN RIVER RD,17,10,0,1,0,1.0,0,0,0.0,0.0,0.0,5,71000.0,2
4300 PRINCESS ANNE RD,19,10,0,0,1,0.0,0,0,0.0,2.0,0.0,1,20000.0,1
1500 LYNNHAVEN PW,9,10,0,1,0,0.0,0,0,0.0,0.0,0.0,5,46000.0,2
300 INDEPENDENCE BLVD S,20,11,1,0,0,0.0,0,0,0.0,2.0,0.0,2,73000.0,2
5700 INDIAN RIVER RD,18,11,0,1,0,1.0,0,0,0.0,2.0,0.0,3,71000.0,2
5800 INDIAN RIVER RD,3,10,1,0,0,0.0,0,0,0.0,2.0,0.0,5,71000.0,2
5000 SOUTHERN BLVD,12,10,0,0,0,1.0,0,0,0.0,0.0,0.0,2,190.0,0
1800 GENERAL BOOTH BL,13,10,0,0,0,1.0,0,0,0.0,0.0,0.0,2,46000.0,2
3812 DONNINGTON DR,6,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,20000.0,1
5700 PRINCESS ANNE RD,7,10,0,1,0,1.0,0,0,0.0,0.0,0.0,6,20000.0,1
3600 SILINA DR,9,10,0,1,1,1.0,0,0,0.0,0.0,0.0,1,6700.0,0
4700 BAXTER RD,12,10,0,0,0,0.0,0,0,0.0,0.0,0.0,12,19000.0,1
INDIAN RIVER RD,8,10,0,1,0,1.0,0,0,0.0,0.0,0.0,28,71000.0,2
4100 PLAZA TRL S,10,10,0,0,0,1.0,0,0,0.0,0.0,0.0,3,11000.0,0
