OBJECTID,EVENT_SOURCE_ID,DATA_DATE,ROUTE_COMMON_NAME,ROUTE_NAME,HTRIS_ID,ROUTE_ALIAS,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,K_FACTOR,K_FACTOR_QUALITY_CODE,DIRECTION_FACTOR,AAWDT,AAWDT_QUALITY_CODE,LOC_COMP_DIRECTIONALITY_NAME,ROUTE_FROM_MEASURE,FROM_JURISDICTION,ROUTE_TO_MEASURE,TO_JURISDICTION,PEAK_SINGLE_UNIT_TRUCK,PEAK_COMBINATION_TRUCK,EVENT_LOCATION_ID,EVENT_COMPONENT_ID,MAXIMUMSCALEDENOMINATOR,ROUTE_COMMON_NAME_ADT,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,RTE_ID,Shape__Length
126,779489,2022/02/08 00:00:00+00,SC-1235N (York County),R-VA099SC01235NB,9901235,          ,99-1239 Earl St,99-622 Seaford Rd,330,R,,,,,,,X,,X,,,X,Bidirectional,0.19,York County,0.29,York County,,,1,1,24000,SC-1235N (York County) - ADT 330,Hampton Roads,Hampton Roads,SC,1940563,222.0546683
128,302363,2024/01/01 00:00:00+00,SC-640E (Culpeper County),R-VA023SC00640EB,2300640,          ,23-627 Homeland Rd,"23-628 S, Butler Store Rd",600,G,97.66693,0.1609,1.68946,0.24135,0.24135,0,C,0.1099,F,0.5294,590,G,Bidirectional,1.55,Culpeper County,3.25,Culpeper County,0.64621,0,1,1,24000,SC-640E (Culpeper County) - ADT 600,Culpeper,Culpeper,SC,1626098,3385.833872
129,748286,2024/01/01 00:00:00+00,SC-617E (King and Queen County),R-VA049SC00617EB,4900617,          ,49-616 Mt Zion Rd,SR 14 The Trail,40,F,98.79518,0,1.20482,0,0,0,C,0.234,F,0.5455,40,X,Bidirectional,9.43,King and Queen County,14.33,King and Queen County,2.12706,0,1,1,24000,SC-617E (King and Queen County) - ADT 40,Fredericksburg,Fredericksburg,SC,1402360,9865.223084
133,779452,2022/01/26 00:00:00+00,SC-1219E (York County),R-VA099SC01219EB,9901219,          ,99-1220 Azalea Dr,99-1226 Pinetree Lane,270,R,,,,,,,X,,X,,,X,Bidirectional,0.48,York County,0.58,York County,,,1,1,24000,SC-1219E (York County) - ADT 270,Hampton Roads,Hampton Roads,SC,2247957,191.5548421
134,793729,2016/08/23 00:00:00+00,SC-7041N (Chesterfield County),R-VA020SC07041NB,2007041,          ,20-2767 Dortonway Dr,20-7043 Summers Trace Terrace,390,R,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.14,Chesterfield County,,,1,1,24000,SC-7041N (Chesterfield County) - ADT 390,Richmond,Richmond,SC,2563440,283.7113295
135,779980,2022/03/22 00:00:00+00,SC-1627N (York County),R-VA099SC01627NB,9901627,          ,99-1629 Cherwell Court,99-604 Barlow Rd,180,R,,,,,,,X,,X,,,X,Bidirectional,0.41,York County,0.53,York County,,,1,1,24000,SC-1627N (York County) - ADT 180,Hampton Roads,Hampton Roads,SC,2249216,254.2986649
136,770456,2014/09/29 00:00:00+00,SC-620N (Shenandoah County),R-VA085SC00620NB,8500620,          ,85-735 Smith Creek Rd,0.05 MS 85-735,80,R,,,,,,,X,,X,,,X,Bidirectional,1.97,Shenandoah County,2.02,Shenandoah County,,,1,1,24000,SC-620N (Shenandoah County) - ADT 80,Staunton,Staunton,SC,1666567,62.26656852
137,705066,2022/11/28 00:00:00+00,SC-1320E (Augusta County),R-VA007SC01320EB,701320,          ,07-1321 Princeton Lane,07-1323 Wyndham Hill Dr,180,T,,,,,,,X,,X,,,X,Bidirectional,0.25,Augusta County,0.33,Augusta County,,,1,1,24000,SC-1320E (Augusta County) - ADT 180,Staunton,Staunton,SC,1610868,179.2085817
138,770473,2017/11/15 00:00:00+00,SC-627E (Shenandoah County),R-VA085SC00627EB,8500627,          ,85-614 South Middle Rd,Dead End,80,R,,,,,,,X,,X,,,X,Bidirectional,0,Shenandoah County,0.33,Shenandoah County,,,1,1,24000,SC-627E (Shenandoah County) - ADT 80,Staunton,Staunton,SC,1666574,666.5329974
139,780232,2022/01/27 00:00:00+00,SC-1830N (York County),R-VA099SC01830NB,9901830,          ,99-1832 Crosspointe Court,99-1834 Glenkinchiey Court,110,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.05,York County,,,1,1,24000,SC-1830N (York County) - ADT 110,Hampton Roads,Hampton Roads,SC,1716443,151.1269316
